Eye Distance,Nose-Mouth Distance,Brow Distance,Nose-Chin Distance,Mouth Corners Distance,Eye Aspect Ratio,Mouth Aspect Ratio,Face Symmetry,Eye-Nose-Chin Angle,Label
595.6187492385078,328.33060724568605,706.8959753740293,757.87338106599,640.0624969485402,0.1441056150569689,0.1403750999426496,997.1289100397604,53.33547017427406,nabil
255.9158933017729,189.7684769546275,311.2314251485541,438.0218298861258,223.29352879114077,0.3837010736114133,0.3629500398418144,506.3665859187914,56.0405306870924,fajri
367.0200191330773,172.4396924459801,428.0785441948708,319.7093201373961,261.0689564080724,0.2399023434550787,0.1816764417493616,511.078390119387,40.77252233187929,fajri
288.06249321978737,166.92673459401956,337.49962962942647,358.523205509614,235.01914815605983,0.2558984750754144,0.2567377386732883,442.8298382876295,47.83354284835155,fajri
333.669330658696,186.28573896895568,388.65269843396175,426.8057788262786,281.1440911703463,0.158553994815346,0.404447231837824,559.8227987848447,43.00166036232756,fajri
378.1504697574469,193.18395011037268,440.60381296579806,481.8049654075372,430.3359153033825,0.1665606293458213,0.2449241702359968,629.8986586355238,49.54693887469404,nabil
246.2141118800644,172.60585408437782,291.12725739786026,398.8939027849541,174.42763542512407,0.2780803513986247,0.4466972908659158,501.4059292128704,53.630640099783626,fajri
536.4345253616698,340.5740637530031,618.9031911373538,767.1150460179754,479.3099206150442,0.3153220536284365,0.3638125297940174,902.7058960139602,34.91173935370026,nabil
596.0471877292939,351.9974966591681,672.6323810225019,747.4594418989907,532.0009398487939,0.2579243746854658,0.2990400246077242,948.5593974064404,43.52946477400836,nabil
389.3721798542424,228.94445961066563,439.2102457821312,491.1274004337267,331.05437619823124,0.3110937114329233,0.3223279702462943,626.2503097554386,47.59676597216029,nabil
299.181708071273,166.88960090098143,345.6231473729733,358.6889708058749,235.30618351416095,0.2298228508985348,0.2497816813517606,449.04647794609286,45.36499000657373,fajri
204.2474670045574,115.07148878355662,231.4252363075384,281.4429310833549,176.10224302944013,0.2759350969249062,0.3204642788015169,321.67820938624186,61.05110317617167,fajri
572.8758106644444,358.006319345564,651.2855594898447,831.113703204514,546.3744137493995,0.2727120970866971,0.3529910916358459,982.073997120378,56.71521222421342,nabil
543.1265710883811,378.36749009624015,625.5665592085305,851.9149163451466,452.5151931151041,0.2606881078213712,0.4070274290779609,1033.4205698006383,59.054919228398624,nabil
389.4704381878324,181.35188707163888,441.97398113463646,370.13405979755805,277.8722728161268,0.2210877605987128,0.2750502822213625,548.1774062422642,36.9802087149733,fajri
530.7220448491742,324.8127903353439,621.8104212700201,702.2575676758668,454.1860852117775,0.2823910279181508,0.3642499342134735,852.3605396105255,45.80766255373094,nabil
736.9129678749194,397.8188312924167,832.8753087947798,835.3037002222235,653.1959889650273,0.31141616404606,0.3717023929341196,1115.0121055717111,41.8639304641498,nabil
309.222052541176,212.9070538527245,348.69470887869807,468.9566696664963,248.4713263135205,0.2224770553178082,0.2910133218514271,610.5382680375657,7.178726329376175,fajri
